Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
B Sai Sudharsan,2022-2026,57,-,-,-,-,-,-,-,-,-,-,-,
M Kartik,2008-2014,56,55,191.4,1,1388,31,3/17,44.77,7.24,37,0,0,
MJ McClenaghan,2015-2019,56,56,212.2,1,1803,71,4/21,25.39,8.49,17.9,1,0,
M Vohra,2013-2023,56,-,-,-,-,-,-,-,-,-,-,-,
S Kaul,2013-2022,55,55,201.3,3,1739,58,4/29,29.98,8.63,20.8,1,0,
M Manhas,2008-2014,55,3,7.0,0,42,0,-,-,6,-,0,0,
LRPL Taylor,2008-2014,55,2,2.0,0,24,0,-,-,12,-,0,0,
SK Warne,2008-2011,55,54,199.0,1,1447,57,4/21,25.38,7.27,20.9,1,0,
MG Johnson,2013-2018,54,54,205.2,2,1702,61,3/26,27.9,8.28,20.1,0,0,
TG Southee,2011-2023,54,54,201.0,2,1742,47,3/20,37.06,8.66,25.6,0,0,
TU Deshpande,2020-2026,53,53,183.5,0,1858,55,4/27,33.78,10.1,20,1,0,
TM Head,2016-2026,53,7,10.4,0,120,3,2/30,40,11.25,21.3,0,0,
Shashank Singh,2022-2026,53,8,15.0,0,140,5,2/20,28,9.33,18,0,0,
VR Aaron,2011-2022,52,50,165.4,2,1481,44,3/16,33.65,8.93,22.5,0,0,
TM Dilshan,2008-2013,52,25,45.1,0,366,5,1/3,73.2,8.1,54.2,0,0,
LH Ferguson,2017-2026,52,52,181.3,1,1671,52,4/28,32.13,9.2,20.9,1,0,
S Gopal,2014-2024,52,51,165.1,1,1349,52,4/16,25.94,8.16,19,1,0,
JR Hazlewood,2020-2026,52,52,196.0,1,1690,72,4/12,23.47,8.62,16.3,3,0,
JM Bairstow,2019-2025,52,-,-,-,-,-,-,-,-,-,-,-,
Harpreet Brar,2019-2026,51,48,143.1,1,1145,37,4/30,30.94,7.99,23.2,1,0,
LS Livingstone,2019-2026,51,27,52.0,0,469,13,3/27,36.07,9.01,24,0,0,
Noor Ahmad,2023-2026,51,51,183.0,0,1495,61,4/18,24.5,8.16,18,2,0,
P Negi,2012-2019,50,42,119.2,0,939,34,4/18,27.61,7.86,21,1,0,
DT Christian,2011-2021,49,49,147.1,0,1192,38,2/10,31.36,8.09,23.2,0,0,
Iqbal Abdulla,2008-2017,49,48,153.2,1,1109,40,3/24,27.72,7.23,23,0,0,
AD Mathews,2009-2017,49,44,131.5,0,1079,27,4/19,39.96,8.18,29.2,1,0,
A Nortje,2020-2026,49,49,186.4,1,1696,61,3/33,27.8,9.08,18.3,0,0,
M Jansen,2021-2026,48,47,169.3,1,1632,45,3/17,36.26,9.62,22.6,0,0,
LR Shukla,2008-2014,47,27,52.2,0,447,15,3/6,29.8,8.54,20.9,0,0,
CL White,2008-2013,47,6,7.0,0,86,1,1/14,86,12.28,42,0,0,
T Stubbs,2022-2026,46,5,6.0,0,69,4,2/11,17.25,11.5,9,0,0,
BA Stokes,2017-2023,45,38,114.5,2,992,28,3/15,35.42,8.63,24.6,0,0,
M Ashwin,2016-2023,44,44,145.0,0,1162,35,3/21,33.2,8.01,24.8,0,0,
