Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W
DL Vettori,2008-2012,34,17,9,121,29,15.12,113,107.07,0,0,1,11,2,34,129.3,0,879,28,3/15,31.39,6.78,27.7,0,0
DM Bravo,2017-2017,1,1,1,6,6*,-,5,120,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DNT Zoysa,2008-2008,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,3,11.0,0,99,2,1/30,49.5,9,33,0,0
DP Conway,2022-2025,29,28,3,1080,92*,43.2,773,139.71,0,11,3,116,34,-,-,-,-,-,-,-,-,-,-,-
DP Nannes,2009-2013,29,3,2,4,3,4,13,30.76,0,0,0,0,0,29,107.3,1,785,28,3/27,28.03,7.3,23,0,0
DP Vijaykumar,2008-2008,9,2,2,1,1*,-,1,100,0,0,0,0,0,9,25.2,0,199,4,1/17,49.75,7.85,38,0,0
DPMD Jayawardene,2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39,-,-,-,-,-,-,-,-,-,-,-
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DR Sams,2020-2022,16,13,4,44,15,4.88,44,100,0,0,3,1,3,16,60.0,0,523,14,4/30,37.35,8.71,25.7,1,0
DR Shorey,2018-2019,2,2,0,13,8,6.5,17,76.47,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
DR Smith,2008-2017,91,89,5,2385,87*,28.39,1764,135.2,0,17,8,245,117,46,89.5,0,810,26,4/8,31.15,9.01,20.7,1,0
DS Kulkarni,2008-2021,92,23,14,104,28*,11.55,108,96.29,0,0,0,7,2,92,297.5,8,2474,86,4/14,28.76,8.3,20.7,1,0
DS Lehmann,2008-2008,2,2,0,18,17,9,18,100,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
DS Rathi,2025-2026,23,4,3,3,2*,3,8,37.5,0,0,0,0,0,23,91.0,0,826,19,2/30,43.47,9.07,28.7,0,0
DT Christian,2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,49,147.1,0,1192,38,2/10,31.36,8.09,23.2,0,0
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DV Malewar,2026-2026,2,2,0,2,2,1,5,40,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-
DW Steyn,2008-2020,95,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,95,362.4,7,2508,97,3/8,25.85,6.91,22.4,0,0
E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,-,-,-,-,-,-,-,-,-,-,-
E Malinga,2025-2026,22,3,2,7,5,7,17,41.17,0,0,0,0,0,22,81.0,0,745,33,4/32,22.57,9.19,14.7,1,0
EJG Morgan,2010-2021,83,75,13,1405,68*,22.66,1146,122.6,0,5,6,112,64,-,-,-,-,-,-,-,-,-,-,-
ER Dwivedi,2016-2016,4,2,0,24,19,12,14,171.42,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-
F Behardien,2016-2016,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-
F du Plessis,2012-2025,154,147,11,4773,96,35.09,3515,135.78,0,39,7,439,174,1,1.0,0,16,0,-,-,16,-,0,0
FA Allen,2021-2022,5,4,2,14,8,7,19,73.68,0,0,0,1,0,4,15.0,1,136,2,1/22,68,9.06,45,0,0
FH Allen,2026-2026,11,11,1,349,100*,34.9,163,214.11,1,1,0,33,28,-,-,-,-,-,-,-,-,-,-,-
FH Edwards,2009-2009,6,2,1,4,3*,4,5,80,0,0,0,0,0,6,23.2,1,154,5,2/27,30.8,6.6,28,0,0
FY Fazal,2010-2011,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1,2,2.0,0,20,0,-,-,10,-,0,0
Fazalhaq Farooqi,2022-2025,12,3,3,5,2*,-,15,33.33,0,0,0,0,0,12,42.2,0,437,6,2/32,72.83,10.32,42.3,0,0
G Coetzee,2024-2025,14,7,1,31,12,5.16,33,93.93,0,0,1,2,2,14,45.3,0,472,15,4/34,31.46,10.37,18.2,1,0
G Gambhir,2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59,-,-,-,-,-,-,-,-,-,-,-
GB Hogg,2012-2016,21,6,3,22,13,7.33,22,100,0,0,0,1,0,21,76.2,1,570,23,4/29,24.78,7.46,19.9,1,0
GC Smith,2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9,-,-,-,-,-,-,-,-,-,-,-
GC Viljoen,2019-2019,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,6,23.0,0,222,7,2/39,31.71,9.65,19.7,0,0
GD McGrath,2008-2008,14,3,2,4,4*,4,5,80,0,0,1,1,0,14,54.0,2,357,12,4/29,29.75,6.61,27,1,0
GD Phillips,2021-2026,14,13,2,132,25,12,109,121.1,0,0,1,7,8,4,5.0,0,40,2,1/10,20,8,15,0,0
GF Linde,2026-2026,3,3,0,31,16,10.33,21,147.61,0,0,0,6,0,3,6.1,0,55,1,1/18,55,8.91,37,0,0
GH Vihari,2013-2019,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,6,7.0,0,47,1,1/5,47,6.71,42,0,0
GHS Garton,2021-2021,5,3,2,2,2*,2,4,50,0,0,1,0,0,5,15.0,0,135,3,1/27,45,9,30,0,0
GJ Bailey,2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,-,-,-,-,-,-,-,-,-,-,-
GJ Maxwell,2012-2025,141,135,17,2819,95,23.88,1817,155.14,0,18,19,237,161,85,170.2,1,1413,41,2/15,34.46,8.29,24.9,0,0
GR Napier,2009-2009,1,1,0,15,15,15,16,93.75,0,0,0,1,0,1,4.0,0,27,1,1/27,27,6.75,24,0,0
GS Sandhu,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,82,1,1/33,82,10.25,48,0,0
Gagandeep Singh,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-,4,14.0,0,141,3,1/33,47,10.07,28,0,0
Gulbadin Naib,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1,1,1.0,0,12,0,-,-,12,-,0,0
Gurjapneet Singh,2026-2026,8,-,-,-,-,-,-,-,-,-,-,-,-,8,25.1,0,233,4,1/7,58.25,9.25,37.7,0,0
Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,6,13.0,0,97,5,2/15,19.4,7.46,15.6,0,0
Gurnoor Brar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,42,0,-,-,14,-,0,0
H Das,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
H Klaasen,2018-2026,64,60,10,2104,105*,42.08,1262,166.71,2,13,1,146,120,-,-,-,-,-,-,-,-,-,-,-
H Sharma,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5.0,0,57,0,-,-,11.4,-,0,0
HC Brook,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,-,-,-,-,-,-,-,-,-,-,-
HE van der Dussen,2022-2022,3,3,1,22,12*,11,24,91.66,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-
HF Gurney,2019-2019,8,1,1,1,1*,-,5,20,0,0,0,0,0,8,27.0,0,238,7,2/25,34,8.81,23.1,0,0
HH Gibbs,2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,-,-,-,-,-,-,-,-,-,-,-
HH Pandya,2015-2026,162,150,44,2955,91,27.87,2020,146.28,0,10,6,228,155,116,294.0,0,2751,82,5/36,33.54,9.35,21.5,0,1
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,-,-,-,-,-,-,-,-,-,-,-
HR Shokeen,2022-2023,13,6,3,66,25,22,65,101.53,0,0,0,9,0,13,34.0,0,314,5,2/34,62.8,9.23,40.8,0,0
HS Dubey,2025-2026,11,5,3,13,9*,6.5,9,144.44,0,0,1,2,0,11,32.0,0,326,13,3/12,25.07,10.18,14.7,0,0
HV Patel,2012-2026,124,49,17,280,36*,8.75,238,117.64,0,0,10,18,15,121,417.4,2,3727,151,5/27,24.68,8.92,16.5,4,1
Harbhajan Singh,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42,160,569.2,6,4030,150,5/18,26.86,7.07,22.7,1,1
Harmeet Singh,2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,27,87.3,0,697,26,3/24,26.8,7.96,20.1,0,0
Harpreet Brar,2019-2026,51,27,15,249,29,20.75,206,120.87,0,0,1,20,10,48,143.1,1,1145,37,4/30,30.94,7.99,23.2,1,0
Harpreet Singh,2010-2024,9,8,1,123,41,17.57,119,103.36,0,0,0,10,3,-,-,-,-,-,-,-,-,-,-,-
Harshit Rana,2022-2025,34,10,4,59,34,9.83,56,105.35,0,0,1,5,3,32,108.1,1,1029,40,3/24,25.72,9.51,16.2,0,0
Himmat Singh,2025-2026,9,5,2,92,40*,30.66,69,133.33,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0,1,1.0,0,23,0,-,-,23,-,0,0
I Sharma,2008-2025,117,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,117,403.1,6,3377,96,5/12,35.17,8.37,25.1,0,1
I Udana,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,10,29.0,0,282,8,2/41,35.25,9.72,21.7,0,0
IC Pandey,2013-2015,25,1,0,0,0,0,2,0,0,0,1,0,0,24,77.0,4,591,18,2/23,32.83,7.67,25.6,0,0
IC Porel,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,39,1,1/39,39,9.75,24,0,0
IK Pathan,2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37,101,340.3,10,2649,80,3/24,33.11,7.77,25.5,0,0
IR Jaggi,2011-2017,7,7,2,76,28,15.2,97,78.35,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-
IS Sodhi,2018-2019,8,2,0,7,6,3.5,17,41.17,0,0,0,0,0,8,30.1,1,202,9,3/26,22.44,6.69,20.1,0,0
Imran Tahir,2014-2021,59,9,5,33,13*,8.25,37,89.18,0,0,0,5,0,59,219.2,1,1703,82,4/12,20.76,7.76,16,3,0
Iqbal Abdulla,2008-2017,49,13,11,88,33*,44,84,104.76,0,0,1,9,1,48,153.2,1,1109,40,3/24,27.72,7.23,23,0,0
Ishan Kishan,2016-2026,134,127,9,3600,106*,30.5,2508,143.54,1,23,11,348,166,1,0.1,0,4,0,-,-,24,-,0,0
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,-,-,-,-,-,-,-,-,-,-,-
J Botha,2009-2015,34,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,34,115.4,0,800,25,3/6,32,6.91,27.7,0,0
J Fraser-McGurk,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,-,-,-,-,-,-,-,-,-,-,-
J Overton,2025-2026,13,8,4,151,43*,37.75,93,162.36,0,0,0,14,7,13,34.0,0,332,14,4/18,23.71,9.76,14.5,1,0
J Suchith,2015-2022,22,10,6,70,34*,17.5,61,114.75,0,0,1,6,3,21,70.0,0,602,19,2/12,31.68,8.6,22.1,0,0
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0,11,32.0,0,283,8,2/15,35.37,8.84,24,0,0
J Theron,2010-2015,10,4,2,10,7*,5,12,83.33,0,0,1,1,0,10,36.0,0,293,9,2/17,32.55,8.13,24,0,0
J Yadav,2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,20,65.0,0,445,8,1/8,55.62,6.84,48.7,0,0
JA Duffy,2026-2026,6,-,-,-,-,-,-,-,-,-,-,-,-,6,24.0,0,263,9,3/22,29.22,10.95,16,0,0
JA Morkel,2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,87,287.1,3,2355,85,4/32,27.7,8.2,20.2,1,0
JA Richardson,2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2,0,4,15.0,0,157,3,2/41,52.33,10.46,30,0,0
JB Little,2023-2024,11,-,-,-,-,-,-,-,-,-,-,-,-,11,38.0,0,339,11,4/45,30.81,8.92,20.7,1,0
JC Archer,2018-2026,68,42,17,326,32,13.04,225,144.88,0,0,5,18,22,68,263.0,4,2161,84,3/15,25.72,8.21,18.7,0,0
JC Buttler,2016-2026,138,136,19,4646,124,39.7,3103,149.72,7,28,8,458,211,-,-,-,-,-,-,-,-,-,-,-
JD Ryder,2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,16,39.2,1,303,8,2/14,37.87,7.7,29.5,0,0
JD Unadkat,2010-2026,116,33,17,201,26,12.56,169,118.93,0,0,2,16,7,115,391.5,3,3504,114,5/25,30.73,8.94,20.6,0,2
JDP Oram,2008-2013,18,12,4,106,41*,13.25,108,98.14,0,0,1,6,5,14,39.3,0,349,9,3/32,38.77,8.83,26.3,0,0
JDS Neesham,2014-2022,14,10,1,92,22,10.22,93,98.92,0,0,2,6,2,13,36.0,0,334,8,3/12,41.75,9.27,27,0,0
JE Root,2023-2023,3,1,0,10,10,10,15,66.66,0,0,0,1,0,1,2.0,0,14,0,-,-,7,-,0,0
JE Taylor,2011-2011,5,2,1,3,2,3,3,100,0,0,0,0,0,5,19.3,0,157,6,3/30,26.16,8.05,19.5,0,0
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0
JG Bethell,2025-2026,9,9,0,163,55,18.11,116,140.51,0,1,0,21,6,-,-,-,-,-,-,-,-,-,-,-
JH Kallis,2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44,89,290.2,3,2293,65,3/13,35.27,7.89,26.8,0,0
JJ Bumrah,2013-2026,158,33,25,75,16*,9.37,86,87.2,0,0,5,6,1,158,605.1,8,4441,187,5/10,23.74,7.33,19.4,3,2
JJ Roy,2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21,-,-,-,-,-,-,-,-,-,-,-
JJ van der Wath,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,3,12.0,0,129,3,2/49,43,10.75,24,0,0
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-
JL Pattinson,2020-2020,10,2,1,15,11,15,13,115.38,0,0,0,2,0,10,35.3,0,320,11,2/19,29.09,9.01,19.3,0,0
JM Bairstow,2019-2025,52,52,4,1674,114,34.87,1146,146.07,2,9,3,173,74,-,-,-,-,-,-,-,-,-,-,-
JM Kemp,2010-2010,5,2,0,26,22,13,24,108.33,0,0,0,1,1,5,7.2,0,54,3,3/12,18,7.36,14.6,0,0
JM Sharma,2022-2026,71,59,11,1107,85*,23.06,726,152.47,0,1,3,86,68,-,-,-,-,-,-,-,-,-,-,-
JO Holder,2013-2026,57,34,8,324,47*,12.46,263,123.19,0,0,3,16,21,57,204.1,0,1751,70,4/24,25.01,8.57,17.5,2,0
JP Behrendorff,2019-2023,17,2,2,6,3*,-,9,66.66,0,0,0,0,0,17,61.0,0,552,19,3/23,29.05,9.04,19.2,0,0
JP Duminy,2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,49,113.0,0,834,23,4/17,36.26,7.38,29.4,1,0
JP Faulkner,2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23,60,204.3,4,1778,59,5/16,30.13,8.69,20.7,0,2
JP Inglis,2025-2026,16,16,2,544,85,38.85,314,173.24,0,4,0,58,28,-,-,-,-,-,-,-,-,-,-,-
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,3,7.0,0,89,2,1/24,44.5,12.71,21,0,0
JR Hazlewood,2020-2026,52,8,7,19,7*,19,30,63.33,0,0,1,1,0,52,196.0,1,1690,72,4/12,23.47,8.62,16.3,3,0
JR Hopes,2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,20,60.0,0,548,14,2/2,39.14,9.13,25.7,0,0
JR Philippe,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,2014-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9.4,1,66,3,2/6,22,6.82,19.3,0,0
Jalaj S Saxena,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,27,0,-,-,9,-,0,0
Jaskaran Singh,2009-2010,8,5,4,8,4*,8,11,72.72,0,0,0,0,0,7,17.0,0,171,6,2/18,28.5,10.05,17,0,0
Joginder Sharma,2008-2011,16,6,2,36,16*,9,30,120,0,0,2,1,2,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0
K Goel,2008-2010,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9,6,11.0,0,93,0,-,-,8.45,-,0,0
K Gowtham,2018-2024,36,27,9,247,33*,13.72,148,166.89,0,0,2,15,17,35,98.0,1,808,21,2/12,38.47,8.24,28,0,0
K Kartikeya,2022-2025,16,4,0,12,6,3,17,70.58,0,0,0,1,0,16,47.0,0,407,12,2/22,33.91,8.65,23.5,0,0
K Khejroliya,2018-2026,9,-,-,-,-,-,-,-,-,-,-,-,-,9,25.1,0,277,6,2/33,46.16,11,25.1,0,0
K Kushagra,2024-2026,5,4,0,21,18,5.25,21,100,0,0,1,3,0,-,-,-,-,-,-,-,-,-,-,-
K Nitish Kumar Reddy,2023-2026,42,35,8,787,76*,29.14,541,145.47,0,3,1,50,46,26,54.1,0,577,13,2/17,44.38,10.65,25,0,0
K Rabada,2017-2026,101,37,17,262,44,13.1,239,109.62,0,0,4,21,11,101,381.4,3,3358,148,4/21,22.68,8.79,15.4,6,0
K Santokie,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,90,3,2/50,30,11.25,16,0,0
K Upadhyay,2012-2013,3,2,2,12,11*,-,9,133.33,0,0,0,0,1,3,9.0,0,81,0,-,-,9,-,0,0
K Yadav,2021-2023,3,1,1,0,0*,-,4,0,0,0,0,0,0,3,9.0,0,84,2,1/18,42,9.33,27,0,0
KA Jamieson,2021-2026,15,10,5,77,16*,15.4,73,105.47,0,0,0,6,4,15,50.0,1,506,16,3/41,31.62,10.12,18.7,0,0
KA Maharaj,2024-2024,2,1,0,1,1,1,2,50,0,0,0,0,0,2,6.0,0,39,2,2/23,19.5,6.5,18,0,0
KA Pollard,2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223,107,248.0,0,2180,69,4/44,31.59,8.79,21.5,1,0
KAJ Roach,2010-2010,2,1,0,10,10,10,9,111.11,0,0,0,1,0,2,8.0,0,80,0,-,-,10,-,0,0
KB Arun Karthik,2010-2013,17,8,3,51,19*,10.2,51,100,0,0,1,4,1,-,-,-,-,-,-,-,-,-,-,-
KC Cariappa,2015-2019,11,5,2,24,12*,8,21,114.28,0,0,0,0,2,11,36.0,0,348,8,2/16,43.5,9.66,27,0,0
KC Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,-,-,-,-,-,-,-,-,-,-,-
KD Karthik,2008-2024,257,234,50,4842,97*,26.31,3577,135.36,0,22,18,466,161,-,-,-,-,-,-,-,-,-,-,-
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KH Pandya,2016-2026,158,127,42,1982,86,23.31,1481,133.82,0,3,7,173,76,147,450.1,1,3410,107,4/45,31.86,7.57,25.2,1,0
KJ Abbott,2016-2016,5,3,2,13,12*,13,8,162.5,0,0,1,0,1,5,16.0,0,177,2,1/38,88.5,11.06,48,0,0
KK Ahmed,2018-2026,76,7,2,2,1*,0.4,9,22.22,0,0,4,0,0,76,276.1,4,2474,91,3/21,27.18,8.95,18.2,0,0
KK Cooper,2012-2014,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8,25,96.0,1,757,33,4/26,22.93,7.88,17.4,1,0
KK Nair,2013-2026,86,78,5,1712,89,23.45,1304,131.28,0,11,5,188,49,-,-,-,-,-,-,-,-,-,-,-
KL Nagarkoti,2020-2022,12,7,3,22,8*,5.5,33,66.66,0,0,2,1,0,11,30.0,0,285,5,2/13,57,9.5,36,0,0
KL Rahul,2013-2026,159,150,24,5815,152*,46.15,4179,139.14,6,45,5,508,239,-,-,-,-,-,-,-,-,-,-,-
KM Asif,2018-2023,7,1,0,0,0,0,2,0,0,0,1,0,0,7,22.1,0,231,7,2/42,33,10.42,19,0,0
KM Jadhav,2010-2023,95,81,27,1208,69,22.37,981,123.13,0,4,6,102,40,-,-,-,-,-,-,-,-,-,-,-
KMA Paul,2019-2019,8,6,1,18,7,3.6,24,75,0,0,2,1,1,8,27.1,0,237,9,3/17,26.33,8.72,18.1,0,0
KMDN Kulasekara,2011-2012,6,1,1,5,5*,-,3,166.66,0,0,0,1,0,5,17.0,0,120,5,2/10,24,7.05,20.4,0,0
KP Appanna,2009-2012,14,3,2,2,1*,2,4,50,0,0,0,0,0,13,36.0,0,286,9,4/19,31.77,7.94,24,1,0
KP Pietersen,2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40,13,29.0,0,215,7,2/31,30.71,7.41,24.8,0,0
KR Mayers,2023-2023,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22,6,7.0,0,59,0,-,-,8.42,-,0,0
KR Sen,2022-2024,12,1,1,0,0*,-,3,0,0,0,0,0,0,12,40.1,0,387,14,4/20,27.64,9.63,17.2,1,0
KS Bharat,2021-2022,10,9,2,199,78*,28.42,163,122.08,0,1,1,12,8,-,-,-,-,-,-,-,-,-,-,-
KS Rathore,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-
KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
KS Williamson,2015-2024,79,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64,2,3.0,0,31,0,-,-,10.33,-,0,0
KT Maphaka,2024-2025,4,1,1,8,8*,-,2,400,0,0,0,2,0,4,11.0,0,143,2,1/23,71.5,13,33,0,0
KV Sharma,2009-2025,90,41,15,352,39*,13.53,295,119.32,0,0,1,20,17,87,264.1,1,2215,83,4/16,26.68,8.38,19,2,0
KW Richardson,2013-2021,15,4,1,36,26,12,39,92.3,0,0,0,2,1,15,55.5,0,472,19,3/13,24.84,8.45,17.6,0,0
Kamran Akmal,2008-2008,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8,-,-,-,-,-,-,-,-,-,-,-
Kamran Khan,2009-2011,9,2,1,3,3,3,5,60,0,0,0,0,0,9,26.4,0,224,9,3/18,24.88,8.4,17.7,0,0
Karanveer Singh,2014-2015,9,4,3,12,5*,12,17,70.58,0,0,0,1,0,9,34.0,0,321,12,4/54,26.75,9.44,17,1,0
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0,0,30,0,-,-,30,-,0,0
Kartik Sharma,2026-2026,11,11,2,295,71,32.77,216,136.57,0,2,0,24,16,-,-,-,-,-,-,-,-,-,-,-
Kartik Tyagi,2020-2026,34,10,3,24,7,3.42,26,92.3,0,0,2,2,1,33,121.2,0,1211,33,3/22,36.69,9.98,22,0,0
Krish Bhagat,2026-2026,3,2,1,10,7,10,21,47.61,0,0,0,0,0,3,6.0,0,63,0,-,-,10.5,-,0,0
Kuldeep Yadav,2016-2026,110,42,24,210,35*,11.66,253,83,0,0,5,18,3,106,379.0,1,3130,112,4/14,27.94,8.25,20.3,4,0
L Ablish,2010-2011,3,1,1,0,0*,-,2,0,0,0,0,0,0,3,7.0,0,75,3,2/17,25,10.71,14,0,0
L Balaji,2008-2014,73,15,7,36,15,4.5,49,73.46,0,0,5,2,1,73,252.1,2,2028,76,5/24,26.68,8.04,19.9,3,1
L Ngidi,2018-2026,28,4,2,4,3,2,9,44.44,0,0,1,0,0,27,103.2,2,869,42,4/10,20.69,8.4,14.7,1,0
L Ronchi,2008-2009,5,5,0,34,13,6.8,34,100,0,0,1,6,1,-,-,-,-,-,-,-,-,-,-,-
L Wood,2024-2024,2,1,1,9,9*,-,3,300,0,0,0,0,1,2,6.0,0,93,1,1/68,93,15.5,36,0,0
LA Carseldine,2009-2009,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0,1,1.0,0,6,1,1/6,6,6,6,0,0
LA Pomersbach,2008-2013,17,16,5,302,79*,27.45,246,122.76,0,1,0,25,13,-,-,-,-,-,-,-,-,-,-,-
LB Williams,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,0,0,2,6.0,0,72,1,1/38,72,12,36,0,0
LE Plunkett,2018-2018,7,2,1,1,1*,1,3,33.33,0,0,1,0,0,7,25.0,0,225,4,3/17,56.25,9,37.5,0,0
LG Pretorius,2025-2026,3,2,0,7,7,3.5,8,87.5,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-
LH Ferguson,2017-2026,52,11,8,72,24*,24,47,153.19,0,0,1,7,2,52,181.3,1,1671,52,4/28,32.13,9.2,20.9,1,0
LI Meriwala,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,32,1,1/32,32,10.66,18,0,0
LJ Wright,2012-2013,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3,6,11.5,0,124,2,1/12,62,10.47,35.5,0,0
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44,1,3.0,0,34,1,1/34,34,11.33,18,0,0
LPC Silva,2008-2008,3,3,1,40,23*,20,26,153.84,0,0,1,5,1,1,1.0,0,21,0,-,-,21,-,0,0
LR Shukla,2008-2014,47,34,7,405,48*,15,350,115.71,0,0,3,33,15,27,52.2,0,447,15,3/6,29.8,8.54,20.9,0,0
LRPL Taylor,2008-2014,55,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46,2,2.0,0,24,0,-,-,12,-,0,0
LS Livingstone,2019-2026,51,49,7,1066,94,25.38,687,155.16,0,7,3,70,76,27,52.0,0,469,13,3/27,36.07,9.01,24,0,0
Lalit Yadav,2021-2024,27,21,5,305,48*,19.06,290,105.17,0,0,1,27,7,19,48.0,0,425,10,2/11,42.5,8.85,28.8,0,0
Litton Das,2023-2023,1,1,0,4,4,4,4,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
M Ashwin,2016-2023,44,13,4,35,9,3.88,50,70,0,0,2,2,1,44,145.0,0,1162,35,3/21,33.2,8.01,24.8,0,0
M Jansen,2021-2026,48,26,11,192,34*,12.8,174,110.34,0,0,3,9,9,47,169.3,1,1632,45,3/17,36.26,9.62,22.6,0,0
M Kaif,2008-2012,29,22,4,259,34*,14.38,250,103.6,0,0,0,22,6,-,-,-,-,-,-,-,-,-,-,-
M Kartik,2008-2014,56,16,9,113,21,16.14,108,104.62,0,0,1,7,1,55,191.4,1,1388,31,3/17,44.77,7.24,37,0,0
M Klinger,2011-2011,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-
M Manhas,2008-2014,55,38,15,514,42*,22.34,470,109.36,0,0,6,43,10,3,7.0,0,42,0,-,-,6,-,0,0
