Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
D Ferreira,South Africa,Batter,Delhi Capitals,2024-2026,18,16,4,326,69.0,False,27.16,191,170.68,0,2,1,25,23,3,3.0,0,41,1,Jan-14,41.0,13.66,18.0,0,0,75,75,0.75,4.31748811353631,1.0,20.375,0.0555555555555555,0.2513089005235602,0.1666666666666666,True,True,1,0,Overseas,2,0,0.4571314093021492,-0.9117482619610026,0.320243442175834,Medium,2,Fair-value Mid-market,0.827
D Padikkal,India,Batter,Royal Challengers Bengaluru,2020-2026,90,89,4,2270,101.0,True,26.7,1705,133.13,1,14,6,239,80,0,0.0,0,0,0,,,,,0,0,200,200,2.0,5.298317366548036,1.0,25.50561797752809,0.0,0.1870967741935484,0.0,True,False,0,0,India,15,0,0.9970201905989402,,0.9970201905989402,High,0,Undervalued / High-value,1.043
DA Miller,South Africa,Batter,Lucknow Super Giants,2012-2026,152,145,53,3288,101.0,True,35.73,2357,139.49,1,14,5,235,152,0,0.0,0,0,0,,,,,0,0,150,750,7.5,6.620073206530356,5.0,22.67586206896552,0.0,0.1641917691981332,0.0,True,False,1,0,Overseas,15,0,1.184701457819933,,1.184701457819933,High,0,Undervalued / High-value,0.296
DG Nalkande,India,All-rounder,Delhi Capitals,2022-2024,6,2,0,12,12.0,False,6.0,12,100.0,0,0,1,0,1,6,14.0,0,148,6,Feb-21,24.66,10.57,14.0,0,0,30,30,0.3,3.4011973816621555,1.0,6.0,1.0,0.0833333333333333,2.333333333333333,True,True,0,1,India,0,0,-0.5068440772027512,-0.0206041450356258,-0.2880361077275448,Low,1,Low-cost / Low-impact,0.659
DJ Hooda,India,All-rounder,Chennai Super Kings,2015-2025,125,101,16,1496,64.0,False,17.6,1172,127.64,0,8,5,98,62,34,63.1,0,546,10,Feb-16,54.6,8.64,37.9,0,0,75,170,1.7,5.135798437050262,2.2666666666666666,14.811881188118813,0.08,0.136518771331058,0.5048,True,True,0,0,India,8,0,0.3654396240587138,-0.658043312673518,-0.0951276974707905,Low,2,Fair-value Mid-market,-0.398
DL Chahar,India,All-rounder,Mumbai Indians,2016-2026,103,21,11,142,39.0,False,14.2,103,137.86,0,0,4,8,9,103,344.4,7,2862,96,Apr-13,29.81,8.3,21.5,2,0,200,925,9.25,6.829793737512425,4.625,6.761904761904762,0.9320388349514565,0.1650485436893204,3.343689320388349,True,True,0,0,India,0,2,-0.1926435427312354,0.7564890489338781,0.2344661235180656,Medium,3,High-performing but Expensive,-1.227
DP Conway,New Zealand,Wicket-keeper,Chennai Super Kings,2022-2025,29,28,3,1080,92.0,True,43.2,773,139.71,0,11,3,116,34,0,0.0,0,0,0,,,,,0,0,200,625,6.25,6.437751649736401,3.125,38.57142857142857,0.0,0.1940491591203104,0.0,True,False,1,0,Overseas,11,0,0.9969859245068596,,0.9969859245068596,High,0,Undervalued / High-value,0.167
E Malinga,Sri Lanka,Bowler,Sunrisers Hyderabad,2025-2026,22,3,2,7,5.0,False,7.0,17,41.17,0,0,0,0,0,22,81.0,0,745,33,Apr-32,22.57,9.19,14.7,1,0,30,120,1.2,4.787491742782046,4.0,2.333333333333333,1.5,0.0,3.6818181818181817,True,True,1,0,Overseas,0,1,-0.9452222582067696,0.5999605786938651,0.3681831531587698,High,2,Fair-value Mid-market,0.534
F du Plessis,South Africa,Batter,Delhi Capitals,2012-2025,154,147,11,4773,96.0,False,35.09,3515,135.78,0,39,7,439,174,1,1.0,0,16,0,,,16.0,,0,0,200,200,2.0,5.298317366548036,1.0,32.46938775510204,0.0,0.1743954480796586,0.0064935064935064,True,True,1,0,Overseas,39,0,2.084070376935318,-1.2212536489586792,1.7535379743459183,High,0,Undervalued / High-value,2.127
Fazalhaq Farooqi,Afghanistan,Bowler,Rajasthan Royals,2022-2025,12,3,3,5,2.0,True,,15,33.33,0,0,0,0,0,12,42.2,0,437,6,Feb-32,72.83,10.32,42.3,0,0,200,200,2.0,5.298317366548036,1.0,1.6666666666666667,0.5,0.0,3.516666666666667,True,True,1,0,Overseas,0,0,-0.9931910807558212,-0.7400292514325972,-0.7780035258310808,Low,2,Fair-value Mid-market,-1.501
